('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         794025 function calls (770006 primitive calls) in 2.892 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      172    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      169    0.000    0.000    0.000    0.000 typing_extensions.py:165(_should_collect_from_parameters)
      169    0.000    0.000    0.000    0.000 typing_extensions.py:3411(_is_unpacked_typevartuple)
      169    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
    164/1    0.000    0.000    2.892    2.892 {built-in method builtins.exec}
  164/163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      163    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      163    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
      163    0.056    0.000    0.056    0.000 {method '__exit__' of '_io._IOBase' objects}
      163    0.146    0.001    0.146    0.001 {built-in method io.open_code}
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      163    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    163/4    0.000    0.000    0.989    0.247 <frozen importlib._bootstrap_external>:877(exec_module)
      163    0.001    0.000    0.402    0.002 <frozen importlib._bootstrap_external>:950(get_code)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      163    0.001    0.000    0.273    0.002 <frozen importlib._bootstrap_external>:1070(get_data)
      163    0.000    0.000    0.111    0.001 <frozen importlib._bootstrap_external>:1089(path_stats)
      148    0.000    0.000    0.000    0.000 os.py:759(decode)
      145    0.000    0.000    0.000    0.000 os.py:698(__iter__)
      145    0.000    0.000    0.000    0.000 _collections_abc.py:885(__iter__)
      142    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      139    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      138    0.000    0.000    0.001    0.000 typing.py:947(__init__)
      136    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
  136/118    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
  134/132    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      134    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      134    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      134    0.000    0.000    0.003    0.000 typing.py:1016(__init__)
      130    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      130    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      128    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      123    0.002    0.000    0.003    0.000 sre_compile.py:516(_get_charset_prefix)
      123    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      113    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      113    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
      110    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      107    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      106    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      105    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      101    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      100    0.000    0.000    0.001    0.000 enum.py:980(__or__)
       97    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       94    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
       87    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:3389(_has_generic_or_protocol_as_origin)
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3424(_collect_type_vars)
    83/61    0.000    0.000    0.003    0.000 typing.py:401(__getitem__)
       79    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       73    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
       71    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       71    0.002    0.000    0.011    0.000 filter.py:129(filter)
       71    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
    71/37    0.000    0.000    0.368    0.010 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
    69/49    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       67    0.000    0.000    1.131    0.017 {method 'readline' of '_io.BufferedReader' objects}
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       63    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       63    0.000    0.000    0.001    0.000 typing.py:664(__init__)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       62    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
       61    0.000    0.000    0.000    0.000 dammit.py:229(<listcomp>)
       61    0.000    0.000    0.357    0.006 client.py:624(_safe_read)
       61    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       61    0.000    0.000    0.003    0.000 typing.py:483(Union)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       60    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
       59    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
       59    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
       56    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       56    0.000    0.000    0.002    0.000 css_parser.py:1106(<listcomp>)
    56/16    0.001    0.000    0.010    0.001 css_parser.py:925(parse_selectors)
       56    0.000    0.000    0.000    0.000 parse.py:112(_noop)
       56    0.000    0.000    0.000    0.000 parse.py:123(_coerce_args)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       54    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
       54    0.000    0.000    0.000    0.000 re.py:269(escape)
       54    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       53    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       53    0.000    0.000    0.000    0.000 element.py:2280(__eq__)
       53    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       52    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       52    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       52    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1908(__init__)
       50    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       50    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       49    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       49    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       48    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
    47/16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    47/16    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       47    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1740(_parse_hextet)
       46    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       45    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
       45    0.000    0.000    0.000    0.000 typing_extensions.py:3462(<listcomp>)
       45    0.000    0.000    0.000    0.000 typing.py:714(__hash__)
       44    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
    44/32    0.000    0.000    0.007    0.000 css_parser.py:579(parse_pseudo_class)
       44    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
       43    0.000    0.000    0.379    0.009 models.py:816(generate)
       43    0.000    0.000    0.379    0.009 response.py:1044(stream)
       42    0.000    0.000    0.021    0.000 response.py:469(_decode)
       42    0.000    0.000    0.000    0.000 _collections.py:289(__iter__)
       41    0.001    0.000    0.021    0.001 response.py:122(decompress)
       41    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
